family,stream,candidate,mode,condition,target,expected,completed,nrmse,coverage95,interval_width
N1,discovery,baseline,full,matched_student_t,r,16,16,0.48154111822604173,0.962890625,0.1500486266033802
N1,discovery,baseline,full,matched_student_t,clean_EEG,16,16,0.48154111822604173,0.962890625,0.1500486266033802
N1,discovery,baseline,full,matched_student_t,clean_HbO,16,16,0.15056363123878375,0.9677734375,0.03174841596078208
N1,discovery,baseline,full,matched_student_t,clean_HbR,16,16,0.1653297838426549,0.9541015625,0.010972789789835595
N1,discovery,baseline,full,combined,r,16,16,0.8289921718570727,0.7470703125,0.1484520956334039
N1,discovery,baseline,full,combined,clean_EEG,16,16,0.8497119049666274,0.724609375,0.1484520956334039
N1,discovery,baseline,full,combined,clean_HbO,16,16,0.4099543618446688,0.841796875,0.029216504620465756
N1,discovery,baseline,full,combined,clean_HbR,16,16,0.6293899175715131,0.7216796875,0.01015188833298556
N1,discovery,baseline,full,drift,r,16,16,0.6230176350936386,0.919921875,0.15015536967155463
N1,discovery,baseline,full,drift,clean_EEG,16,16,0.6230176350936386,0.919921875,0.15015536967155463
N1,discovery,baseline,full,drift,clean_HbO,16,16,0.33756549323456947,0.619140625,0.032189109059016584
N1,discovery,baseline,full,drift,clean_HbR,16,16,0.26596923532885675,0.830078125,0.010951327788691644
N1,discovery,baseline,full,correlated_hb,r,16,16,0.5296603060005571,0.9560546875,0.15009558561382497
N1,discovery,baseline,full,correlated_hb,clean_EEG,16,16,0.5296603060005571,0.9560546875,0.15009558561382497
N1,discovery,baseline,full,correlated_hb,clean_HbO,16,16,0.1723679457840147,0.9658203125,0.03401802507135997
N1,discovery,baseline,full,correlated_hb,clean_HbR,16,16,0.19418611897491922,0.927734375,0.011565155245170749
N1,discovery,baseline,full,outliers,r,16,16,0.5331798257426577,0.9375,0.15032751023206048
N1,discovery,baseline,full,outliers,clean_EEG,16,16,0.5331798257426577,0.9375,0.15032751023206048
N1,discovery,baseline,full,outliers,clean_HbO,16,16,0.16856112470190743,0.9423828125,0.032334856382287974
N1,discovery,baseline,full,outliers,clean_HbR,16,16,0.19148665893273475,0.9619140625,0.011213835831161928
N1,discovery,baseline,full,independent_pairing,r,16,16,1.4349374992172144,0.5888671875,0.15057197235634154
N1,discovery,baseline,full,independent_pairing,clean_EEG,16,16,1.4349374992172144,0.5888671875,0.15057197235634154
N1,discovery,baseline,full,independent_pairing,clean_HbO,16,16,0.30166967343759726,0.7890625,0.03516138477608277
N1,discovery,baseline,full,independent_pairing,clean_HbR,16,16,0.2835141250559341,0.865234375,0.011771250361210924
N1,discovery,baseline,EEG_only,matched_student_t,r,16,16,0.5305483201736605,0.9677734375,0.17361750040196852
N1,discovery,baseline,EEG_only,matched_student_t,clean_EEG,16,16,0.5305483201736605,0.9677734375,0.17361750040196852
N1,discovery,baseline,EEG_only,matched_student_t,clean_HbO,16,16,0.47779494601200845,0.962890625,0.10546275094226579
N1,discovery,baseline,EEG_only,matched_student_t,clean_HbR,16,16,0.5042269880823917,0.9482421875,0.03211916799411313
N1,discovery,baseline,EEG_only,combined,r,16,16,0.9983930142319077,0.6865234375,0.1722602519706395
N1,discovery,baseline,EEG_only,combined,clean_EEG,16,16,0.6118211102649961,0.943359375,0.1722602519706395
N1,discovery,baseline,EEG_only,combined,clean_HbO,16,16,2.315436283654119,0.6923828125,0.1022817798871096
N1,discovery,baseline,EEG_only,combined,clean_HbR,16,16,2.6952393408986635,0.7724609375,0.03106290104507941
N1,discovery,baseline,EEG_only,drift,r,16,16,0.7362108757636969,0.9130859375,0.17320708312191954
N1,discovery,baseline,EEG_only,drift,clean_EEG,16,16,0.7362108757636969,0.9130859375,0.17320708312191954
N1,discovery,baseline,EEG_only,drift,clean_HbO,16,16,0.6924818799710433,0.8779296875,0.09825746081143313
N1,discovery,baseline,EEG_only,drift,clean_HbR,16,16,0.668186232468454,0.8876953125,0.02922435931128188
N1,discovery,baseline,EEG_only,correlated_hb,r,16,16,0.6015059812457976,0.9619140625,0.17174688474374306
N1,discovery,baseline,EEG_only,correlated_hb,clean_EEG,16,16,0.6015059812457976,0.9619140625,0.17174688474374306
N1,discovery,baseline,EEG_only,correlated_hb,clean_HbO,16,16,0.48618212694513324,0.962890625,0.10012012315249497
N1,discovery,baseline,EEG_only,correlated_hb,clean_HbR,16,16,0.4741553727758637,0.9609375,0.030289824205675914
N1,discovery,baseline,EEG_only,outliers,r,16,16,0.6109234792644906,0.9423828125,0.17406541695313751
N1,discovery,baseline,EEG_only,outliers,clean_EEG,16,16,0.6109234792644906,0.9423828125,0.17406541695313751
N1,discovery,baseline,EEG_only,outliers,clean_HbO,16,16,0.5269245206616662,0.951171875,0.1059930377911999
N1,discovery,baseline,EEG_only,outliers,clean_HbR,16,16,0.5823548018500728,0.9228515625,0.03238103574643654
N1,discovery,baseline,EEG_only,independent_pairing,r,16,16,0.6425013585485365,0.96484375,0.17104528962069435
N1,discovery,baseline,EEG_only,independent_pairing,clean_EEG,16,16,0.6425013585485365,0.96484375,0.17104528962069435
N1,discovery,baseline,EEG_only,independent_pairing,clean_HbO,16,16,2.3274898913302264,0.4462890625,0.10025472613675537
N1,discovery,baseline,EEG_only,independent_pairing,clean_HbR,16,16,2.4137947997269578,0.4921875,0.03041049035184812
N1,discovery,baseline,fNIRS_only,matched_student_t,r,16,16,0.6740366108412497,0.9462890625,0.1910703379776586
N1,discovery,baseline,fNIRS_only,matched_student_t,clean_EEG,16,16,0.6740366108412497,0.9462890625,0.1910703379776586
N1,discovery,baseline,fNIRS_only,matched_student_t,clean_HbO,16,16,0.17058988257873242,0.9619140625,0.03457439215830445
N1,discovery,baseline,fNIRS_only,matched_student_t,clean_HbR,16,16,0.16847186309067147,0.95703125,0.011460265242317788
N1,discovery,baseline,fNIRS_only,combined,r,16,16,0.9657602175127001,0.783203125,0.1870003708086101
N1,discovery,baseline,fNIRS_only,combined,clean_EEG,16,16,1.0908460477327926,0.720703125,0.1870003708086101
N1,discovery,baseline,fNIRS_only,combined,clean_HbO,16,16,0.36395328078454403,0.86328125,0.03052841585354362
N1,discovery,baseline,fNIRS_only,combined,clean_HbR,16,16,0.6062289204244846,0.7509765625,0.010353832631357009
N1,discovery,baseline,fNIRS_only,drift,r,16,16,0.7092797625001594,0.9453125,0.19244734640541053
N1,discovery,baseline,fNIRS_only,drift,clean_EEG,16,16,0.7092797625001594,0.9453125,0.19244734640541053
N1,discovery,baseline,fNIRS_only,drift,clean_HbO,16,16,0.33183555651755964,0.65234375,0.035050954919652225
N1,discovery,baseline,fNIRS_only,drift,clean_HbR,16,16,0.26742240820986113,0.84765625,0.011412093380648192
N1,discovery,baseline,fNIRS_only,correlated_hb,r,16,16,0.724108734777642,0.939453125,0.19331874425171255
N1,discovery,baseline,fNIRS_only,correlated_hb,clean_EEG,16,16,0.724108734777642,0.939453125,0.19331874425171255
N1,discovery,baseline,fNIRS_only,correlated_hb,clean_HbO,16,16,0.19538809540619737,0.9453125,0.03691473118877128
N1,discovery,baseline,fNIRS_only,correlated_hb,clean_HbR,16,16,0.21198750910921227,0.92578125,0.012068761893950869
N1,discovery,baseline,fNIRS_only,outliers,r,16,16,0.6386363539729325,0.9541015625,0.19122080929807458
N1,discovery,baseline,fNIRS_only,outliers,clean_EEG,16,16,0.6386363539729325,0.9541015625,0.19122080929807458
N1,discovery,baseline,fNIRS_only,outliers,clean_HbO,16,16,0.1770144524124537,0.943359375,0.035123474508469886
N1,discovery,baseline,fNIRS_only,outliers,clean_HbR,16,16,0.19526550225295858,0.9658203125,0.011693895145897608
N1,discovery,baseline,fNIRS_only,independent_pairing,r,16,16,1.7891220052372694,0.5703125,0.19150952616726447
N1,discovery,baseline,fNIRS_only,independent_pairing,clean_EEG,16,16,1.7891220052372694,0.5703125,0.19150952616726447
N1,discovery,baseline,fNIRS_only,independent_pairing,clean_HbO,16,16,0.18496029007976683,0.9482421875,0.03460802740611789
N1,discovery,baseline,fNIRS_only,independent_pairing,clean_HbR,16,16,0.20110029931994747,0.9599609375,0.011456186652479348
N1,discovery,legacy_w,full,matched_student_t,r,16,16,0.5838616673205652,0.9267578125,0.16212781768876564
N1,discovery,legacy_w,full,matched_student_t,clean_EEG,16,16,0.5838616673205652,0.9267578125,0.16212781768876564
N1,discovery,legacy_w,full,matched_student_t,clean_HbO,16,16,0.2132965416398821,0.8330078125,0.029544748622468274
N1,discovery,legacy_w,full,matched_student_t,clean_HbR,16,16,0.21863148535790178,0.87890625,0.01059376854691919
N1,discovery,legacy_w,full,combined,r,16,16,0.8245700353222474,0.78515625,0.16035150451050778
N1,discovery,legacy_w,full,combined,clean_EEG,16,16,0.7086708734471969,0.859375,0.16035150451050778
N1,discovery,legacy_w,full,combined,clean_HbO,16,16,0.39800738220065945,0.8115234375,0.026199902316454624
