task_id,family,solver,fit_calls_lower_bound,optimizer_starts,optimizer_evaluations,interrupted_call_possible,reused_task,elapsed_seconds,peak_rss_bytes
v3__S1__linearized_gaussian__0__model__full__O0,S1,O0,1,0,0,False,,0.4586985990172252,684650496
v3__S1__linearized_gaussian__0__model__full__O1,S1,O1,1,0,0,False,,0.28468957397853956,684650496
v3__S1__linearized_gaussian__0__model__full__O2,S1,O2,1,2,18,False,,1.880050852021668,684650496
v3__S1__linearized_gaussian__0__model__full__O2_pointwise,S1,O2_pointwise,1,2,18,False,,1.7130159829976037,684650496
v3__S1__linearized_gaussian__0__model__full__O2_mean_only,S1,O2_mean_only,1,2,18,False,,1.8052101820358075,684650496
v3__S1__linearized_gaussian__0__model__center_EEG__O0,S1,O0,1,0,0,False,,0.3198711469885893,684650496
v3__S1__linearized_gaussian__0__model__center_EEG__O1,S1,O1,1,0,0,False,,0.22197451000101864,684650496
v3__S1__linearized_gaussian__0__model__center_EEG__O2,S1,O2,1,2,18,False,,1.823172740987502,684908544
v3__S1__linearized_gaussian__0__model__center_EEG__O2_pointwise,S1,O2_pointwise,1,2,18,False,,1.8035381099907681,689205248
v3__S1__linearized_gaussian__0__model__center_EEG__O2_mean_only,S1,O2_mean_only,1,2,18,False,,1.823665123025421,684650496
v3__S1__linearized_gaussian__0__model__center_fNIRS__O0,S1,O0,1,0,0,False,,0.31592645699856803,684650496
v3__S1__linearized_gaussian__0__model__center_fNIRS__O1,S1,O1,1,0,0,False,,0.21705354994628578,684650496
v3__S1__linearized_gaussian__0__model__center_fNIRS__O2,S1,O2,1,2,18,False,,1.8684201380237937,685326336
v3__S1__linearized_gaussian__0__model__center_fNIRS__O2_pointwise,S1,O2_pointwise,1,2,18,False,,1.5634422349976376,686628864
v3__S1__linearized_gaussian__0__model__center_fNIRS__O2_mean_only,S1,O2_mean_only,1,2,18,False,,1.7448490809765644,684650496
v3__S1__linearized_gaussian__0__model__whole_EEG__O0,S1,O0,1,0,0,False,,0.2896454370347783,684650496
v3__S1__linearized_gaussian__0__model__whole_EEG__O1,S1,O1,1,0,0,False,,0.17805963597493246,684650496
v3__S1__linearized_gaussian__0__model__whole_EEG__O2,S1,O2,1,2,18,False,,1.7768702890025452,684650496
v3__S1__linearized_gaussian__0__model__whole_EEG__O2_pointwise,S1,O2_pointwise,1,2,18,False,,1.7247912799939513,684650496
v3__S1__linearized_gaussian__0__model__whole_EEG__O2_mean_only,S1,O2_mean_only,1,2,18,False,,1.8323755039600655,684650496
v3__S1__linearized_gaussian__0__model__whole_fNIRS__O0,S1,O0,1,0,0,False,,0.28074378601741046,684650496
v3__S1__linearized_gaussian__0__model__whole_fNIRS__O1,S1,O1,1,0,0,False,,0.1514905440271832,684650496
v3__S1__linearized_gaussian__0__model__whole_fNIRS__O2,S1,O2,1,2,20,False,,1.8895387829979882,684650496
v3__S1__linearized_gaussian__0__model__whole_fNIRS__O2_pointwise,S1,O2_pointwise,1,2,20,False,,1.8429888419923373,684650496
v3__S1__linearized_gaussian__0__model__whole_fNIRS__O2_mean_only,S1,O2_mean_only,1,2,20,False,,1.8610230089980178,684650496
v3__S1__linearized_gaussian__0__combined__full__O0,S1,O0,1,0,0,False,,0.9726726579829119,684650496
v3__S1__linearized_gaussian__0__combined__full__O1,S1,O1,1,0,0,False,,0.9099023510352708,684650496
v3__S1__linearized_gaussian__0__combined__full__O2,S1,O2,1,2,18,False,,2.5239509100210853,686628864
v3__S1__linearized_gaussian__0__combined__full__O2_pointwise,S1,O2_pointwise,1,2,18,False,,2.4045888209948316,684650496
v3__S1__linearized_gaussian__0__combined__full__O2_mean_only,S1,O2_mean_only,1,2,22,False,,2.467231665039435,684650496
v3__S1__linearized_gaussian__0__combined__center_EEG__O0,S1,O0,1,0,0,False,,0.9790458979550749,689205248
v3__S1__linearized_gaussian__0__combined__center_EEG__O1,S1,O1,1,0,0,False,,0.865292874048464,684908544
v3__S1__linearized_gaussian__0__combined__center_EEG__O2,S1,O2,1,2,18,False,,2.4448186879744753,684650496
v3__S1__linearized_gaussian__0__combined__center_EEG__O2_pointwise,S1,O2_pointwise,1,2,18,False,,2.2243874050327577,684650496
v3__S1__linearized_gaussian__0__combined__center_EEG__O2_mean_only,S1,O2_mean_only,1,2,22,False,,2.7000423510326073,684650496
v3__S1__linearized_gaussian__0__combined__center_fNIRS__O0,S1,O0,1,0,0,False,,0.9540692620212212,685326336
v3__S1__linearized_gaussian__0__combined__center_fNIRS__O1,S1,O1,1,0,0,False,,0.8291876119910739,684650496
v3__S1__linearized_gaussian__0__combined__center_fNIRS__O2,S1,O2,1,2,18,False,,2.4161666280124336,684650496
v3__S1__linearized_gaussian__0__combined__center_fNIRS__O2_pointwise,S1,O2_pointwise,1,2,18,False,,2.4345511879655533,684650496
v3__S1__linearized_gaussian__0__combined__center_fNIRS__O2_mean_only,S1,O2_mean_only,1,2,22,False,,2.5533988709794357,684650496
v3__S1__linearized_gaussian__0__combined__whole_EEG__O0,S1,O0,1,0,0,False,,0.9010323179536499,684650496
v3__S1__linearized_gaussian__0__combined__whole_EEG__O1,S1,O1,1,0,0,False,,0.788263195019681,684650496
v3__S1__linearized_gaussian__0__combined__whole_EEG__O2,S1,O2,1,2,18,False,,2.3982654759893194,684650496
v3__S1__linearized_gaussian__0__combined__whole_EEG__O2_pointwise,S1,O2_pointwise,1,2,18,False,,2.3313753940165043,684908544
v3__S1__linearized_gaussian__0__combined__whole_EEG__O2_mean_only,S1,O2_mean_only,1,2,30,False,,3.4923930839868262,689205248
v3__S1__linearized_gaussian__0__combined__whole_fNIRS__O0,S1,O0,1,0,0,False,,0.877444715006277,684650496
v3__S1__linearized_gaussian__0__combined__whole_fNIRS__O1,S1,O1,1,0,0,False,,0.7541682639857754,685326336
v3__S1__linearized_gaussian__0__combined__whole_fNIRS__O2,S1,O2,1,2,23,False,,2.449487157049589,684650496
v3__S1__linearized_gaussian__0__combined__whole_fNIRS__O2_pointwise,S1,O2_pointwise,1,2,25,False,,2.8147735410020687,684650496
v3__S1__linearized_gaussian__0__combined__whole_fNIRS__O2_mean_only,S1,O2_mean_only,1,2,23,False,,2.763288711954374,685326336
v3__S1__linearized_gaussian__1__model__full__O0,S1,O0,1,0,0,False,,0.3444250230095349,684650496
v3__S1__linearized_gaussian__1__model__full__O1,S1,O1,1,0,0,False,,0.2566673969849944,684650496
v3__S1__linearized_gaussian__1__model__full__O2,S1,O2,1,2,18,False,,1.8873610220034607,684650496
v3__S1__linearized_gaussian__1__model__full__O2_pointwise,S1,O2_pointwise,1,2,18,False,,1.7635803280281834,684650496
v3__S1__linearized_gaussian__1__model__full__O2_mean_only,S1,O2_mean_only,1,2,18,False,,1.8569414369994774,686628864
v3__S1__linearized_gaussian__1__model__center_EEG__O0,S1,O0,1,0,0,False,,0.32354346197098494,684650496
v3__S1__linearized_gaussian__1__model__center_EEG__O1,S1,O1,1,0,0,False,,0.20865707797929645,684650496
v3__S1__linearized_gaussian__1__model__center_EEG__O2,S1,O2,1,2,18,False,,1.7674291859730147,684650496
v3__S1__linearized_gaussian__1__model__center_EEG__O2_pointwise,S1,O2_pointwise,1,2,18,False,,1.814939450006932,685056000
v3__S1__linearized_gaussian__1__model__center_EEG__O2_mean_only,S1,O2_mean_only,1,2,18,False,,1.6167279740329832,684650496
