task_id,subject,session,sample_id,solver,retained_rank,projected_covariance_max_error,correlations,interpretation
v3_S2__subject_01__1__1__O0,subject_01,session_01,eeg_fnirs_single_trial|subject_01|session_01|event=3|offset=-5.0|duration=30.0,O0,357,5.06283459097136e-09,"{""EEG"": {""raw_lag1"": 0.605241615986019, ""symmetric_whitened_lag1"": 0.5957924083901804, ""prefitted_noise_pair_correlation"": -0.008403361344537808}, ""HbO"": {""raw_lag1"": 0.9898624942113446, ""symmetric_whitened_lag1"": -0.5696742957848251, ""prefitted_noise_pair_correlation"": -0.008403361346330162}, ""HbR"": {""raw_lag1"": 0.9972354523159283, ""symmetric_whitened_lag1"": -0.5617974394970993, ""prefitted_noise_pair_correlation"": -0.008403361348532654}}",symmetric whitening on retained noise support; prefitted reference excludes effects of fitting the trajectory
v3_S2__subject_01__1__5__O0,subject_01,session_01,eeg_fnirs_single_trial|subject_01|session_01|event=13|offset=-5.0|duration=30.0,O0,357,5.06283459097136e-09,"{""EEG"": {""raw_lag1"": 0.7271515811546666, ""symmetric_whitened_lag1"": 0.7180714765414699, ""prefitted_noise_pair_correlation"": -0.008403361344537808}, ""HbO"": {""raw_lag1"": 0.988536731657798, ""symmetric_whitened_lag1"": -0.5722565955125625, ""prefitted_noise_pair_correlation"": -0.008403361346330162}, ""HbR"": {""raw_lag1"": 0.9973882278650604, ""symmetric_whitened_lag1"": -0.552562264642913, ""prefitted_noise_pair_correlation"": -0.008403361348532654}}",symmetric whitening on retained noise support; prefitted reference excludes effects of fitting the trajectory
v3_S2__subject_01__1__9__O0,subject_01,session_03,eeg_fnirs_single_trial|subject_01|session_03|event=2|offset=-5.0|duration=30.0,O0,357,5.06283459097136e-09,"{""EEG"": {""raw_lag1"": 0.5733964688180359, ""symmetric_whitened_lag1"": 0.47077519776332455, ""prefitted_noise_pair_correlation"": -0.008403361344537808}, ""HbO"": {""raw_lag1"": 0.9912720242035127, ""symmetric_whitened_lag1"": -0.5701396442814693, ""prefitted_noise_pair_correlation"": -0.008403361346330162}, ""HbR"": {""raw_lag1"": 0.9965931517629887, ""symmetric_whitened_lag1"": -0.5669740161121436, ""prefitted_noise_pair_correlation"": -0.008403361348532654}}",symmetric whitening on retained noise support; prefitted reference excludes effects of fitting the trajectory
v3_S2__subject_01__1__13__O0,subject_01,session_03,eeg_fnirs_single_trial|subject_01|session_03|event=12|offset=-5.0|duration=30.0,O0,357,5.06283459097136e-09,"{""EEG"": {""raw_lag1"": 0.46492766720718814, ""symmetric_whitened_lag1"": 0.4369302063784952, ""prefitted_noise_pair_correlation"": -0.008403361344537808}, ""HbO"": {""raw_lag1"": 0.9922845432488331, ""symmetric_whitened_lag1"": -0.563245313659872, ""prefitted_noise_pair_correlation"": -0.008403361346330162}, ""HbR"": {""raw_lag1"": 0.9969994236702826, ""symmetric_whitened_lag1"": -0.5597147044795817, ""prefitted_noise_pair_correlation"": -0.008403361348532654}}",symmetric whitening on retained noise support; prefitted reference excludes effects of fitting the trajectory
v3_S2__subject_01__1__17__O0,subject_01,session_05,eeg_fnirs_single_trial|subject_01|session_05|event=2|offset=-5.0|duration=30.0,O0,357,5.06283459097136e-09,"{""EEG"": {""raw_lag1"": 0.5922323793720601, ""symmetric_whitened_lag1"": 0.5357232810100285, ""prefitted_noise_pair_correlation"": -0.008403361344537808}, ""HbO"": {""raw_lag1"": 0.9919837209050397, ""symmetric_whitened_lag1"": -0.5669690534062746, ""prefitted_noise_pair_correlation"": -0.008403361346330162}, ""HbR"": {""raw_lag1"": 0.9853576555537888, ""symmetric_whitened_lag1"": -0.562850342359071, ""prefitted_noise_pair_correlation"": -0.008403361348532654}}",symmetric whitening on retained noise support; prefitted reference excludes effects of fitting the trajectory
v3_S2__subject_01__1__21__O0,subject_01,session_05,eeg_fnirs_single_trial|subject_01|session_05|event=12|offset=-5.0|duration=30.0,O0,357,5.06283459097136e-09,"{""EEG"": {""raw_lag1"": 0.7626853409948497, ""symmetric_whitened_lag1"": 0.7599284908814626, ""prefitted_noise_pair_correlation"": -0.008403361344537808}, ""HbO"": {""raw_lag1"": 0.990597260526593, ""symmetric_whitened_lag1"": -0.5601942264717147, ""prefitted_noise_pair_correlation"": -0.008403361346330162}, ""HbR"": {""raw_lag1"": 0.9963657851681744, ""symmetric_whitened_lag1"": -0.5562346888366618, ""prefitted_noise_pair_correlation"": -0.008403361348532654}}",symmetric whitening on retained noise support; prefitted reference excludes effects of fitting the trajectory
v3_S2__subject_01__2__2__O0,subject_01,session_01,eeg_fnirs_single_trial|subject_01|session_01|event=5|offset=-5.0|duration=30.0,O0,357,6.446593007449759e-09,"{""EEG"": {""raw_lag1"": 0.7716051272825424, ""symmetric_whitened_lag1"": 0.7707752003798425, ""prefitted_noise_pair_correlation"": -0.008403361344537827}, ""HbO"": {""raw_lag1"": 0.9910742029584795, ""symmetric_whitened_lag1"": -0.5636213038131003, ""prefitted_noise_pair_correlation"": -0.008403361337009557}, ""HbR"": {""raw_lag1"": 0.9973042937231208, ""symmetric_whitened_lag1"": -0.5369515157164788, ""prefitted_noise_pair_correlation"": -0.008403361349001739}}",symmetric whitening on retained noise support; prefitted reference excludes effects of fitting the trajectory
v3_S2__subject_01__2__6__O0,subject_01,session_01,eeg_fnirs_single_trial|subject_01|session_01|event=14|offset=-5.0|duration=30.0,O0,357,6.446593007449759e-09,"{""EEG"": {""raw_lag1"": 0.663176536362133, ""symmetric_whitened_lag1"": 0.6385809930059477, ""prefitted_noise_pair_correlation"": -0.008403361344537827}, ""HbO"": {""raw_lag1"": 0.9884402773192689, ""symmetric_whitened_lag1"": -0.5708153032550671, ""prefitted_noise_pair_correlation"": -0.008403361337009557}, ""HbR"": {""raw_lag1"": 0.9969307959404216, ""symmetric_whitened_lag1"": -0.5582887234864579, ""prefitted_noise_pair_correlation"": -0.008403361349001739}}",symmetric whitening on retained noise support; prefitted reference excludes effects of fitting the trajectory
v3_S2__subject_01__2__10__O0,subject_01,session_03,eeg_fnirs_single_trial|subject_01|session_03|event=4|offset=-5.0|duration=30.0,O0,357,6.446593007449759e-09,"{""EEG"": {""raw_lag1"": 0.6423480546583845, ""symmetric_whitened_lag1"": 0.6271943925624286, ""prefitted_noise_pair_correlation"": -0.008403361344537827}, ""HbO"": {""raw_lag1"": 0.9917380015983646, ""symmetric_whitened_lag1"": -0.5603511813917136, ""prefitted_noise_pair_correlation"": -0.008403361337009557}, ""HbR"": {""raw_lag1"": 0.9912988783480468, ""symmetric_whitened_lag1"": -0.5614018710467529, ""prefitted_noise_pair_correlation"": -0.008403361349001739}}",symmetric whitening on retained noise support; prefitted reference excludes effects of fitting the trajectory
v3_S2__subject_01__2__14__O0,subject_01,session_03,eeg_fnirs_single_trial|subject_01|session_03|event=15|offset=-5.0|duration=30.0,O0,357,6.446593007449759e-09,"{""EEG"": {""raw_lag1"": 0.5127226373724284, ""symmetric_whitened_lag1"": 0.4781353805110257, ""prefitted_noise_pair_correlation"": -0.008403361344537827}, ""HbO"": {""raw_lag1"": 0.9921954760231061, ""symmetric_whitened_lag1"": -0.5735198458580975, ""prefitted_noise_pair_correlation"": -0.008403361337009557}, ""HbR"": {""raw_lag1"": 0.9964239001936012, ""symmetric_whitened_lag1"": -0.5687602578852035, ""prefitted_noise_pair_correlation"": -0.008403361349001739}}",symmetric whitening on retained noise support; prefitted reference excludes effects of fitting the trajectory
v3_S2__subject_01__2__18__O0,subject_01,session_05,eeg_fnirs_single_trial|subject_01|session_05|event=5|offset=-5.0|duration=30.0,O0,357,6.446593007449759e-09,"{""EEG"": {""raw_lag1"": 0.501642708939429, ""symmetric_whitened_lag1"": 0.5008347665528281, ""prefitted_noise_pair_correlation"": -0.008403361344537827}, ""HbO"": {""raw_lag1"": 0.990838826007698, ""symmetric_whitened_lag1"": -0.5661464100740636, ""prefitted_noise_pair_correlation"": -0.008403361337009557}, ""HbR"": {""raw_lag1"": 0.9962095562694636, ""symmetric_whitened_lag1"": -0.549333546267357, ""prefitted_noise_pair_correlation"": -0.008403361349001739}}",symmetric whitening on retained noise support; prefitted reference excludes effects of fitting the trajectory
v3_S2__subject_01__2__22__O0,subject_01,session_05,eeg_fnirs_single_trial|subject_01|session_05|event=14|offset=-5.0|duration=30.0,O0,357,6.446593007449759e-09,"{""EEG"": {""raw_lag1"": 0.7272123637074751, ""symmetric_whitened_lag1"": 0.6883454109033135, ""prefitted_noise_pair_correlation"": -0.008403361344537827}, ""HbO"": {""raw_lag1"": 0.9882642044712507, ""symmetric_whitened_lag1"": -0.5704761163824335, ""prefitted_noise_pair_correlation"": -0.008403361337009557}, ""HbR"": {""raw_lag1"": 0.9975704946717432, ""symmetric_whitened_lag1"": -0.5635462630578906, ""prefitted_noise_pair_correlation"": -0.008403361349001739}}",symmetric whitening on retained noise support; prefitted reference excludes effects of fitting the trajectory
v3_S2__subject_01__3__3__O0,subject_01,session_01,eeg_fnirs_single_trial|subject_01|session_01|event=7|offset=-5.0|duration=30.0,O0,357,6.832612530256649e-09,"{""EEG"": {""raw_lag1"": 0.5943045240374056, ""symmetric_whitened_lag1"": 0.5880734859873188, ""prefitted_noise_pair_correlation"": -0.008403361344537816}, ""HbO"": {""raw_lag1"": 0.9934093552017766, ""symmetric_whitened_lag1"": -0.5672317433973174, ""prefitted_noise_pair_correlation"": -0.00840336134338915}, ""HbR"": {""raw_lag1"": 0.9858170353736139, ""symmetric_whitened_lag1"": -0.5524316914049293, ""prefitted_noise_pair_correlation"": -0.008403361354755385}}",symmetric whitening on retained noise support; prefitted reference excludes effects of fitting the trajectory
v3_S2__subject_01__3__7__O0,subject_01,session_01,eeg_fnirs_single_trial|subject_01|session_01|event=17|offset=-5.0|duration=30.0,O0,357,6.832612530256649e-09,"{""EEG"": {""raw_lag1"": 0.6411800002495841, ""symmetric_whitened_lag1"": 0.6405035464664252, ""prefitted_noise_pair_correlation"": -0.008403361344537816}, ""HbO"": {""raw_lag1"": 0.9941878091990247, ""symmetric_whitened_lag1"": -0.5707564221315762, ""prefitted_noise_pair_correlation"": -0.00840336134338915}, ""HbR"": {""raw_lag1"": 0.993795496346289, ""symmetric_whitened_lag1"": -0.5473629961068935, ""prefitted_noise_pair_correlation"": -0.008403361354755385}}",symmetric whitening on retained noise support; prefitted reference excludes effects of fitting the trajectory
v3_S2__subject_01__3__11__O0,subject_01,session_03,eeg_fnirs_single_trial|subject_01|session_03|event=6|offset=-5.0|duration=30.0,O0,357,6.832612530256649e-09,"{""EEG"": {""raw_lag1"": 0.5713466907700138, ""symmetric_whitened_lag1"": 0.5476711246398223, ""prefitted_noise_pair_correlation"": -0.008403361344537816}, ""HbO"": {""raw_lag1"": 0.9938463257263919, ""symmetric_whitened_lag1"": -0.568985359019225, ""prefitted_noise_pair_correlation"": -0.00840336134338915}, ""HbR"": {""raw_lag1"": 0.9920739254508915, ""symmetric_whitened_lag1"": -0.5206459475541727, ""prefitted_noise_pair_correlation"": -0.008403361354755385}}",symmetric whitening on retained noise support; prefitted reference excludes effects of fitting the trajectory
v3_S2__subject_01__3__15__O0,subject_01,session_03,eeg_fnirs_single_trial|subject_01|session_03|event=16|offset=-5.0|duration=30.0,O0,357,6.832612530256649e-09,"{""EEG"": {""raw_lag1"": 0.6512162500853416, ""symmetric_whitened_lag1"": 0.6429844447969589, ""prefitted_noise_pair_correlation"": -0.008403361344537816}, ""HbO"": {""raw_lag1"": 0.9934917872303086, ""symmetric_whitened_lag1"": -0.5670024401560185, ""prefitted_noise_pair_correlation"": -0.00840336134338915}, ""HbR"": {""raw_lag1"": 0.9928602133854151, ""symmetric_whitened_lag1"": -0.5417237906778921, ""prefitted_noise_pair_correlation"": -0.008403361354755385}}",symmetric whitening on retained noise support; prefitted reference excludes effects of fitting the trajectory
v3_S2__subject_01__3__19__O0,subject_01,session_05,eeg_fnirs_single_trial|subject_01|session_05|event=7|offset=-5.0|duration=30.0,O0,357,6.832612530256649e-09,"{""EEG"": {""raw_lag1"": 0.4938240183621796, ""symmetric_whitened_lag1"": 0.4694391510618436, ""prefitted_noise_pair_correlation"": -0.008403361344537816}, ""HbO"": {""raw_lag1"": 0.9911057449192378, ""symmetric_whitened_lag1"": -0.5667432646027335, ""prefitted_noise_pair_correlation"": -0.00840336134338915}, ""HbR"": {""raw_lag1"": 0.9888219979078494, ""symmetric_whitened_lag1"": -0.5419429546569781, ""prefitted_noise_pair_correlation"": -0.008403361354755385}}",symmetric whitening on retained noise support; prefitted reference excludes effects of fitting the trajectory
v3_S2__subject_01__3__23__O0,subject_01,session_05,eeg_fnirs_single_trial|subject_01|session_05|event=17|offset=-5.0|duration=30.0,O0,357,6.832612530256649e-09,"{""EEG"": {""raw_lag1"": 0.6128992361161965, ""symmetric_whitened_lag1"": 0.5847636699309962, ""prefitted_noise_pair_correlation"": -0.008403361344537816}, ""HbO"": {""raw_lag1"": 0.9913176308043973, ""symmetric_whitened_lag1"": -0.5710823236670134, ""prefitted_noise_pair_correlation"": -0.00840336134338915}, ""HbR"": {""raw_lag1"": 0.9891399853366338, ""symmetric_whitened_lag1"": -0.5637268577534407, ""prefitted_noise_pair_correlation"": -0.008403361354755385}}",symmetric whitening on retained noise support; prefitted reference excludes effects of fitting the trajectory
v3_S2__subject_09__1__1__O0,subject_09,session_01,eeg_fnirs_single_trial|subject_09|session_01|event=2|offset=-5.0|duration=30.0,O0,357,1.6030185668532752e-08,"{""EEG"": {""raw_lag1"": 0.47989380436341145, ""symmetric_whitened_lag1"": 0.4010472422513013, ""prefitted_noise_pair_correlation"": -0.008403361344537816}, ""HbO"": {""raw_lag1"": 0.9865886872473719, ""symmetric_whitened_lag1"": -0.5700778535735139, ""prefitted_noise_pair_correlation"": -0.008403361344469305}, ""HbR"": {""raw_lag1"": 0.9973007315288426, ""symmetric_whitened_lag1"": -0.5423868689525091, ""prefitted_noise_pair_correlation"": -0.008403361351962645}}",symmetric whitening on retained noise support; prefitted reference excludes effects of fitting the trajectory
v3_S2__subject_09__1__5__O0,subject_09,session_01,eeg_fnirs_single_trial|subject_09|session_01|event=13|offset=-5.0|duration=30.0,O0,357,1.6030185668532752e-08,"{""EEG"": {""raw_lag1"": 0.3475332113950616, ""symmetric_whitened_lag1"": 0.33602375674382856, ""prefitted_noise_pair_correlation"": -0.008403361344537816}, ""HbO"": {""raw_lag1"": 0.9901721206631536, ""symmetric_whitened_lag1"": -0.5668085246271973, ""prefitted_noise_pair_correlation"": -0.008403361344469305}, ""HbR"": {""raw_lag1"": 0.9964446213027763, ""symmetric_whitened_lag1"": -0.5573705608295642, ""prefitted_noise_pair_correlation"": -0.008403361351962645}}",symmetric whitening on retained noise support; prefitted reference excludes effects of fitting the trajectory
v3_S2__subject_09__1__9__O0,subject_09,session_03,eeg_fnirs_single_trial|subject_09|session_03|event=3|offset=-5.0|duration=30.0,O0,357,1.6030185668532752e-08,"{""EEG"": {""raw_lag1"": 0.6763814997976977, ""symmetric_whitened_lag1"": 0.6006436354831989, ""prefitted_noise_pair_correlation"": -0.008403361344537816}, ""HbO"": {""raw_lag1"": 0.9868852673290668, ""symmetric_whitened_lag1"": -0.5729677616235027, ""prefitted_noise_pair_correlation"": -0.008403361344469305}, ""HbR"": {""raw_lag1"": 0.9963962664915419, ""symmetric_whitened_lag1"": -0.562434907807884, ""prefitted_noise_pair_correlation"": -0.008403361351962645}}",symmetric whitening on retained noise support; prefitted reference excludes effects of fitting the trajectory
v3_S2__subject_09__1__13__O0,subject_09,session_03,eeg_fnirs_single_trial|subject_09|session_03|event=12|offset=-5.0|duration=30.0,O0,357,1.6030185668532752e-08,"{""EEG"": {""raw_lag1"": 0.8855270950434303, ""symmetric_whitened_lag1"": 0.853986262234079, ""prefitted_noise_pair_correlation"": -0.008403361344537816}, ""HbO"": {""raw_lag1"": 0.9871798177890427, ""symmetric_whitened_lag1"": -0.5719974629174369, ""prefitted_noise_pair_correlation"": -0.008403361344469305}, ""HbR"": {""raw_lag1"": 0.997869646397677, ""symmetric_whitened_lag1"": -0.5477979886296127, ""prefitted_noise_pair_correlation"": -0.008403361351962645}}",symmetric whitening on retained noise support; prefitted reference excludes effects of fitting the trajectory
v3_S2__subject_09__1__17__O0,subject_09,session_05,eeg_fnirs_single_trial|subject_09|session_05|event=2|offset=-5.0|duration=30.0,O0,357,1.6030185668532752e-08,"{""EEG"": {""raw_lag1"": 0.5409382527985468, ""symmetric_whitened_lag1"": 0.5292512791352378, ""prefitted_noise_pair_correlation"": -0.008403361344537816}, ""HbO"": {""raw_lag1"": 0.9888079062591182, ""symmetric_whitened_lag1"": -0.5680965148390731, ""prefitted_noise_pair_correlation"": -0.008403361344469305}, ""HbR"": {""raw_lag1"": 0.9963488408371619, ""symmetric_whitened_lag1"": -0.5548141438464822, ""prefitted_noise_pair_correlation"": -0.008403361351962645}}",symmetric whitening on retained noise support; prefitted reference excludes effects of fitting the trajectory
v3_S2__subject_09__1__21__O0,subject_09,session_05,eeg_fnirs_single_trial|subject_09|session_05|event=13|offset=-5.0|duration=30.0,O0,357,1.6030185668532752e-08,"{""EEG"": {""raw_lag1"": 0.8316699319812368, ""symmetric_whitened_lag1"": 0.720804941293455, ""prefitted_noise_pair_correlation"": -0.008403361344537816}, ""HbO"": {""raw_lag1"": 0.9890708151792279, ""symmetric_whitened_lag1"": -0.5653459018846323, ""prefitted_noise_pair_correlation"": -0.008403361344469305}, ""HbR"": {""raw_lag1"": 0.9974542022623135, ""symmetric_whitened_lag1"": -0.5523779137210185, ""prefitted_noise_pair_correlation"": -0.008403361351962645}}",symmetric whitening on retained noise support; prefitted reference excludes effects of fitting the trajectory
v3_S2__subject_09__1__1__O1,subject_09,session_01,eeg_fnirs_single_trial|subject_09|session_01|event=2|offset=-5.0|duration=30.0,O1,357,1.6030185668532752e-08,"{""EEG"": {""raw_lag1"": 0.9395282800999373, ""symmetric_whitened_lag1"": 0.9193762703766839, ""prefitted_noise_pair_correlation"": -0.008403361344537816}, ""HbO"": {""raw_lag1"": 0.9916305442155101, ""symmetric_whitened_lag1"": 0.049171991503733296, ""prefitted_noise_pair_correlation"": -0.008403361344469305}, ""HbR"": {""raw_lag1"": 0.9924273689178271, ""symmetric_whitened_lag1"": -0.46868856646604123, ""prefitted_noise_pair_correlation"": -0.008403361351962645}}",symmetric whitening on retained noise support; prefitted reference excludes effects of fitting the trajectory
v3_S2__subject_09__2__2__O0,subject_09,session_01,eeg_fnirs_single_trial|subject_09|session_01|event=4|offset=-5.0|duration=30.0,O0,357,6.451139386773624e-09,"{""EEG"": {""raw_lag1"": 0.19228050069137903, ""symmetric_whitened_lag1"": 0.15113942684504833, ""prefitted_noise_pair_correlation"": -0.008403361344537827}, ""HbO"": {""raw_lag1"": 0.9928319386803687, ""symmetric_whitened_lag1"": -0.5605534576638, ""prefitted_noise_pair_correlation"": -0.008403361339106264}, ""HbR"": {""raw_lag1"": 0.9965880662366133, ""symmetric_whitened_lag1"": -0.5511626692608981, ""prefitted_noise_pair_correlation"": -0.008403361343583356}}",symmetric whitening on retained noise support; prefitted reference excludes effects of fitting the trajectory
v3_S2__subject_09__2__6__O0,subject_09,session_01,eeg_fnirs_single_trial|subject_09|session_01|event=14|offset=-5.0|duration=30.0,O0,357,6.451139386773624e-09,"{""EEG"": {""raw_lag1"": 0.5473360895609354, ""symmetric_whitened_lag1"": 0.47315745969261447, ""prefitted_noise_pair_correlation"": -0.008403361344537827}, ""HbO"": {""raw_lag1"": 0.9855203452853323, ""symmetric_whitened_lag1"": -0.5551903718089646, ""prefitted_noise_pair_correlation"": -0.008403361339106264}, ""HbR"": {""raw_lag1"": 0.9971250295254852, ""symmetric_whitened_lag1"": -0.5264704001598667, ""prefitted_noise_pair_correlation"": -0.008403361343583356}}",symmetric whitening on retained noise support; prefitted reference excludes effects of fitting the trajectory
v3_S2__subject_09__2__10__O0,subject_09,session_03,eeg_fnirs_single_trial|subject_09|session_03|event=5|offset=-5.0|duration=30.0,O0,357,6.451139386773624e-09,"{""EEG"": {""raw_lag1"": 0.6311904676683366, ""symmetric_whitened_lag1"": 0.5981788309282967, ""prefitted_noise_pair_correlation"": -0.008403361344537827}, ""HbO"": {""raw_lag1"": 0.9893217911805695, ""symmetric_whitened_lag1"": -0.566308997850677, ""prefitted_noise_pair_correlation"": -0.008403361339106264}, ""HbR"": {""raw_lag1"": 0.9971586724330307, ""symmetric_whitened_lag1"": -0.5498659519770035, ""prefitted_noise_pair_correlation"": -0.008403361343583356}}",symmetric whitening on retained noise support; prefitted reference excludes effects of fitting the trajectory
v3_S2__subject_09__2__14__O0,subject_09,session_03,eeg_fnirs_single_trial|subject_09|session_03|event=15|offset=-5.0|duration=30.0,O0,357,6.451139386773624e-09,"{""EEG"": {""raw_lag1"": 0.7654003185182114, ""symmetric_whitened_lag1"": 0.7172366823468954, ""prefitted_noise_pair_correlation"": -0.008403361344537827}, ""HbO"": {""raw_lag1"": 0.9851274010421869, ""symmetric_whitened_lag1"": -0.5613674904791798, ""prefitted_noise_pair_correlation"": -0.008403361339106264}, ""HbR"": {""raw_lag1"": 0.9972779543891086, ""symmetric_whitened_lag1"": -0.5443611858443465, ""prefitted_noise_pair_correlation"": -0.008403361343583356}}",symmetric whitening on retained noise support; prefitted reference excludes effects of fitting the trajectory
