condition,panel,solver,status,selected
matched,0,O2,completed,"{""id"": ""baseline"", ""eeg"": ""E0"", ""noise"": 1.0, ""gain"": 1.0, ""sigma_h"": 1.0, ""sigma_r"": 1.0, ""w"": 0.0, ""g"": 0.0}"
matched,1,O2,completed,"{""id"": ""gain_1.5"", ""eeg"": ""E0"", ""noise"": 1.0, ""gain"": 1.5, ""sigma_h"": 1.0, ""sigma_r"": 1.0, ""w"": 0.0, ""g"": 0.0}"
matched,2,O2,completed,"{""id"": ""gain_0.75"", ""eeg"": ""E0"", ""noise"": 1.0, ""gain"": 0.75, ""sigma_h"": 1.0, ""sigma_r"": 1.0, ""w"": 0.0, ""g"": 0.0}"
matched,3,O2,completed,"{""id"": ""baseline"", ""eeg"": ""E0"", ""noise"": 1.0, ""gain"": 1.0, ""sigma_h"": 1.0, ""sigma_r"": 1.0, ""w"": 0.0, ""g"": 0.0}"
gain_low,0,O2,completed,"{""id"": ""gain_0.75"", ""eeg"": ""E0"", ""noise"": 1.0, ""gain"": 0.75, ""sigma_h"": 1.0, ""sigma_r"": 1.0, ""w"": 0.0, ""g"": 0.0}"
gain_low,1,O2,completed,"{""id"": ""gain_0.75"", ""eeg"": ""E0"", ""noise"": 1.0, ""gain"": 0.75, ""sigma_h"": 1.0, ""sigma_r"": 1.0, ""w"": 0.0, ""g"": 0.0}"
gain_low,2,O2,completed,"{""id"": ""gain_0.75"", ""eeg"": ""E0"", ""noise"": 1.0, ""gain"": 0.75, ""sigma_h"": 1.0, ""sigma_r"": 1.0, ""w"": 0.0, ""g"": 0.0}"
gain_low,3,O2,completed,"{""id"": ""gain_0.75"", ""eeg"": ""E0"", ""noise"": 1.0, ""gain"": 0.75, ""sigma_h"": 1.0, ""sigma_r"": 1.0, ""w"": 0.0, ""g"": 0.0}"
gain_high,0,O2,completed,"{""id"": ""gain_1.5"", ""eeg"": ""E0"", ""noise"": 1.0, ""gain"": 1.5, ""sigma_h"": 1.0, ""sigma_r"": 1.0, ""w"": 0.0, ""g"": 0.0}"
gain_high,1,O2,completed,"{""id"": ""gain_1.5"", ""eeg"": ""E0"", ""noise"": 1.0, ""gain"": 1.5, ""sigma_h"": 1.0, ""sigma_r"": 1.0, ""w"": 0.0, ""g"": 0.0}"
