solver,modality,null,expected_trials,paired_completed,mean_nmse_increment
O0,EEG,own,72,54,-1.699052311759482
O0,EEG,template,72,54,-0.004075687640861007
O0,EEG,pairing,72,54,-0.04838582220684745
O0,EEG,shift,72,21,40.695906682214165
O0,HbO,own,72,54,-2.886640627879005
O0,HbR,own,72,54,1.5224485608930634
O0,HbO,template,72,52,1.4986165746044406
O0,HbR,template,72,52,-1.9786886236753454
O0,HbO,pairing,72,54,0.45713840934330646
O0,HbR,pairing,72,54,-0.39098024323545716
O0,HbO,shift,72,54,-2.0474410805234053
O0,HbR,shift,72,54,1.0019877457929611
O1,EEG,own,72,6,-0.13197114023968634
O1,EEG,template,72,6,0.08644674923454214
O1,EEG,pairing,72,2,0.04102059794451918
O1,EEG,shift,72,6,168.56644888682104
O1,HbO,own,72,6,0.15049447548641848
O1,HbR,own,72,6,0.30039693145962093
O1,HbO,template,72,6,-0.11345471744058111
O1,HbR,template,72,6,-0.40140910957921594
O1,HbO,pairing,72,6,0.00802751312219047
O1,HbR,pairing,72,6,0.007213321817423485
O1,HbO,shift,72,6,0.011256580779797107
O1,HbR,shift,72,6,0.01473270370366686
O2,EEG,own,72,0,nan
O2,EEG,template,72,0,nan
O2,EEG,pairing,72,0,nan
O2,EEG,shift,72,0,nan
O2,HbO,own,72,0,nan
O2,HbR,own,72,0,nan
O2,HbO,template,72,0,nan
O2,HbR,template,72,0,nan
O2,HbO,pairing,72,0,nan
O2,HbR,pairing,72,0,nan
O2,HbO,shift,72,0,nan
O2,HbR,shift,72,0,nan
