condition,panel,solver,status,selected
q_low,0,O0,completed,"{""id"": ""process_0.5"", ""eeg"": ""E0"", ""noise"": 1.0, ""gain"": 1.0, ""sigma_h"": 0.5, ""sigma_r"": 1.0, ""w"": 0.0, ""g"": 0.0}"
q_low,0,O2,completed,"{""id"": ""baseline"", ""eeg"": ""E0"", ""noise"": 1.0, ""gain"": 1.0, ""sigma_h"": 1.0, ""sigma_r"": 1.0, ""w"": 0.0, ""g"": 0.0}"
q_low,1,O0,completed,"{""id"": ""baseline"", ""eeg"": ""E0"", ""noise"": 1.0, ""gain"": 1.0, ""sigma_h"": 1.0, ""sigma_r"": 1.0, ""w"": 0.0, ""g"": 0.0}"
q_low,1,O2,completed,"{""id"": ""process_0.5"", ""eeg"": ""E0"", ""noise"": 1.0, ""gain"": 1.0, ""sigma_h"": 0.5, ""sigma_r"": 1.0, ""w"": 0.0, ""g"": 0.0}"
q_low,2,O0,completed,"{""id"": ""process_2"", ""eeg"": ""E0"", ""noise"": 1.0, ""gain"": 1.0, ""sigma_h"": 2.0, ""sigma_r"": 1.0, ""w"": 0.0, ""g"": 0.0}"
q_low,2,O2,completed,"{""id"": ""process_2"", ""eeg"": ""E0"", ""noise"": 1.0, ""gain"": 1.0, ""sigma_h"": 2.0, ""sigma_r"": 1.0, ""w"": 0.0, ""g"": 0.0}"
q_low,3,O0,completed,"{""id"": ""process_0.5"", ""eeg"": ""E0"", ""noise"": 1.0, ""gain"": 1.0, ""sigma_h"": 0.5, ""sigma_r"": 1.0, ""w"": 0.0, ""g"": 0.0}"
q_low,3,O2,completed,"{""id"": ""baseline"", ""eeg"": ""E0"", ""noise"": 1.0, ""gain"": 1.0, ""sigma_h"": 1.0, ""sigma_r"": 1.0, ""w"": 0.0, ""g"": 0.0}"
matched,0,O0,completed,"{""id"": ""baseline"", ""eeg"": ""E0"", ""noise"": 1.0, ""gain"": 1.0, ""sigma_h"": 1.0, ""sigma_r"": 1.0, ""w"": 0.0, ""g"": 0.0}"
matched,0,O2,completed,"{""id"": ""process_2"", ""eeg"": ""E0"", ""noise"": 1.0, ""gain"": 1.0, ""sigma_h"": 2.0, ""sigma_r"": 1.0, ""w"": 0.0, ""g"": 0.0}"
matched,1,O0,completed,"{""id"": ""baseline"", ""eeg"": ""E0"", ""noise"": 1.0, ""gain"": 1.0, ""sigma_h"": 1.0, ""sigma_r"": 1.0, ""w"": 0.0, ""g"": 0.0}"
matched,1,O2,completed,"{""id"": ""baseline"", ""eeg"": ""E0"", ""noise"": 1.0, ""gain"": 1.0, ""sigma_h"": 1.0, ""sigma_r"": 1.0, ""w"": 0.0, ""g"": 0.0}"
matched,2,O0,completed,"{""id"": ""process_0.5"", ""eeg"": ""E0"", ""noise"": 1.0, ""gain"": 1.0, ""sigma_h"": 0.5, ""sigma_r"": 1.0, ""w"": 0.0, ""g"": 0.0}"
matched,2,O2,completed,"{""id"": ""process_0.5"", ""eeg"": ""E0"", ""noise"": 1.0, ""gain"": 1.0, ""sigma_h"": 0.5, ""sigma_r"": 1.0, ""w"": 0.0, ""g"": 0.0}"
matched,3,O0,completed,"{""id"": ""process_2"", ""eeg"": ""E0"", ""noise"": 1.0, ""gain"": 1.0, ""sigma_h"": 2.0, ""sigma_r"": 1.0, ""w"": 0.0, ""g"": 0.0}"
matched,3,O2,completed,"{""id"": ""process_2"", ""eeg"": ""E0"", ""noise"": 1.0, ""gain"": 1.0, ""sigma_h"": 2.0, ""sigma_r"": 1.0, ""w"": 0.0, ""g"": 0.0}"
q_high,0,O0,completed,"{""id"": ""process_2"", ""eeg"": ""E0"", ""noise"": 1.0, ""gain"": 1.0, ""sigma_h"": 2.0, ""sigma_r"": 1.0, ""w"": 0.0, ""g"": 0.0}"
q_high,0,O2,completed,"{""id"": ""process_2"", ""eeg"": ""E0"", ""noise"": 1.0, ""gain"": 1.0, ""sigma_h"": 2.0, ""sigma_r"": 1.0, ""w"": 0.0, ""g"": 0.0}"
q_high,1,O0,completed,"{""id"": ""process_2"", ""eeg"": ""E0"", ""noise"": 1.0, ""gain"": 1.0, ""sigma_h"": 2.0, ""sigma_r"": 1.0, ""w"": 0.0, ""g"": 0.0}"
q_high,1,O2,completed,"{""id"": ""process_2"", ""eeg"": ""E0"", ""noise"": 1.0, ""gain"": 1.0, ""sigma_h"": 2.0, ""sigma_r"": 1.0, ""w"": 0.0, ""g"": 0.0}"
q_high,2,O0,completed,"{""id"": ""process_0.5"", ""eeg"": ""E0"", ""noise"": 1.0, ""gain"": 1.0, ""sigma_h"": 0.5, ""sigma_r"": 1.0, ""w"": 0.0, ""g"": 0.0}"
