task_id,family,law,variant,mode,solver,replicate,role,condition,panel,sample_id,metrics
v3__S1__linearized_gaussian__0__model__full__O0,S1,linearized_gaussian,model,full,O0,0,,,,,"{""EEG"": {""visible_samples"": 120, ""full_processed_truth_sd"": 0.0845818727507318, ""nrmse"": 0.4573754931737513, ""bias_coordinate"": 0.010440693148791414}, ""HbO"": {""visible_samples"": 120, ""full_processed_truth_sd"": 0.07526740054414943, ""nrmse"": 0.11801217720154805, ""bias_coordinate"": 0.005241345803315242}, ""HbR"": {""visible_samples"": 120, ""full_processed_truth_sd"": 0.02419989196133021, ""nrmse"": 0.1853313471668031, ""bias_coordinate"": -0.0019471513164152244}}"
v3__S1__linearized_gaussian__0__model__full__O1,S1,linearized_gaussian,model,full,O1,0,,,,,"{""EEG"": {""visible_samples"": 120, ""full_processed_truth_sd"": 0.0845818727507318, ""nrmse"": 0.44073500065326965, ""bias_coordinate"": 0.007490079911277265}, ""HbO"": {""visible_samples"": 120, ""full_processed_truth_sd"": 0.07526740054414943, ""nrmse"": 0.12923323235264428, ""bias_coordinate"": 0.006069401741620658}, ""HbR"": {""visible_samples"": 120, ""full_processed_truth_sd"": 0.02419989196133021, ""nrmse"": 0.2023531604666495, ""bias_coordinate"": -0.002236454842896013}}"
v3__S1__linearized_gaussian__0__model__full__O2,S1,linearized_gaussian,model,full,O2,0,,,,,"{""EEG"": {""visible_samples"": 120, ""full_processed_truth_sd"": 0.0845818727507318, ""nrmse"": 0.4526968492751005, ""bias_coordinate"": 0.01048726175048617}, ""HbO"": {""visible_samples"": 120, ""full_processed_truth_sd"": 0.07526740054414943, ""nrmse"": 0.1257701963853007, ""bias_coordinate"": 0.0057050300233616735}, ""HbR"": {""visible_samples"": 120, ""full_processed_truth_sd"": 0.02419989196133021, ""nrmse"": 0.20049136595621625, ""bias_coordinate"": -0.0021937579637120617}}"
v3__S1__linearized_gaussian__0__model__full__O2_pointwise,S1,linearized_gaussian,model,full,O2_pointwise,0,,,,,"{""EEG"": {""visible_samples"": 120, ""full_processed_truth_sd"": 0.0845818727507318, ""nrmse"": 0.4526968492751005, ""bias_coordinate"": 0.01048726175048617}, ""HbO"": {""visible_samples"": 120, ""full_processed_truth_sd"": 0.07526740054414943, ""nrmse"": 0.1257701963853007, ""bias_coordinate"": 0.0057050300233616735}, ""HbR"": {""visible_samples"": 120, ""full_processed_truth_sd"": 0.02419989196133021, ""nrmse"": 0.20049136595621625, ""bias_coordinate"": -0.0021937579637120617}}"
v3__S1__linearized_gaussian__0__model__full__O2_mean_only,S1,linearized_gaussian,model,full,O2_mean_only,0,,,,,"{""EEG"": {""visible_samples"": 120, ""full_processed_truth_sd"": 0.0845818727507318, ""nrmse"": 0.4526968492751005, ""bias_coordinate"": 0.01048726175048617}, ""HbO"": {""visible_samples"": 120, ""full_processed_truth_sd"": 0.07526740054414943, ""nrmse"": 0.1257701963853007, ""bias_coordinate"": 0.0057050300233616735}, ""HbR"": {""visible_samples"": 120, ""full_processed_truth_sd"": 0.02419989196133021, ""nrmse"": 0.20049136595621625, ""bias_coordinate"": -0.0021937579637120617}}"
v3__S1__linearized_gaussian__0__model__center_EEG__O0,S1,linearized_gaussian,model,center_EEG,O0,0,,,,,"{""EEG"": {""visible_samples"": 104, ""full_processed_truth_sd"": 0.0845818727507318, ""nrmse"": 0.4446217296142348, ""bias_coordinate"": 0.009596133741217266}, ""HbO"": {""visible_samples"": 120, ""full_processed_truth_sd"": 0.07526740054414943, ""nrmse"": 0.1199474650198196, ""bias_coordinate"": 0.005471484693343354}, ""HbR"": {""visible_samples"": 120, ""full_processed_truth_sd"": 0.02419989196133021, ""nrmse"": 0.18673288606364283, ""bias_coordinate"": -0.0020353068393220547}}"
v3__S1__linearized_gaussian__0__model__center_EEG__O1,S1,linearized_gaussian,model,center_EEG,O1,0,,,,,"{""EEG"": {""visible_samples"": 104, ""full_processed_truth_sd"": 0.0845818727507318, ""nrmse"": 0.43352005454427267, ""bias_coordinate"": 0.007254946768050564}, ""HbO"": {""visible_samples"": 120, ""full_processed_truth_sd"": 0.07526740054414943, ""nrmse"": 0.13030230637824577, ""bias_coordinate"": 0.006240073719661374}, ""HbR"": {""visible_samples"": 120, ""full_processed_truth_sd"": 0.02419989196133021, ""nrmse"": 0.20446043499749783, ""bias_coordinate"": -0.002308008886279286}}"
v3__S1__linearized_gaussian__0__model__center_EEG__O2,S1,linearized_gaussian,model,center_EEG,O2,0,,,,,"{""EEG"": {""visible_samples"": 104, ""full_processed_truth_sd"": 0.0845818727507318, ""nrmse"": 0.44499219808230606, ""bias_coordinate"": 0.009628358955453852}, ""HbO"": {""visible_samples"": 120, ""full_processed_truth_sd"": 0.07526740054414943, ""nrmse"": 0.12613001864399043, ""bias_coordinate"": 0.005891240952077805}, ""HbR"": {""visible_samples"": 120, ""full_processed_truth_sd"": 0.02419989196133021, ""nrmse"": 0.2013826523965883, ""bias_coordinate"": -0.002271200227553738}}"
v3__S1__linearized_gaussian__0__model__center_EEG__O2_pointwise,S1,linearized_gaussian,model,center_EEG,O2_pointwise,0,,,,,"{""EEG"": {""visible_samples"": 104, ""full_processed_truth_sd"": 0.0845818727507318, ""nrmse"": 0.44499219808230606, ""bias_coordinate"": 0.009628358955453852}, ""HbO"": {""visible_samples"": 120, ""full_processed_truth_sd"": 0.07526740054414943, ""nrmse"": 0.12613001864399043, ""bias_coordinate"": 0.005891240952077805}, ""HbR"": {""visible_samples"": 120, ""full_processed_truth_sd"": 0.02419989196133021, ""nrmse"": 0.2013826523965883, ""bias_coordinate"": -0.002271200227553738}}"
v3__S1__linearized_gaussian__0__model__center_EEG__O2_mean_only,S1,linearized_gaussian,model,center_EEG,O2_mean_only,0,,,,,"{""EEG"": {""visible_samples"": 104, ""full_processed_truth_sd"": 0.0845818727507318, ""nrmse"": 0.44499219808230606, ""bias_coordinate"": 0.009628358955453852}, ""HbO"": {""visible_samples"": 120, ""full_processed_truth_sd"": 0.07526740054414943, ""nrmse"": 0.12613001864399043, ""bias_coordinate"": 0.005891240952077805}, ""HbR"": {""visible_samples"": 120, ""full_processed_truth_sd"": 0.02419989196133021, ""nrmse"": 0.2013826523965883, ""bias_coordinate"": -0.002271200227553738}}"
v3__S1__linearized_gaussian__0__model__center_fNIRS__O0,S1,linearized_gaussian,model,center_fNIRS,O0,0,,,,,"{""EEG"": {""visible_samples"": 120, ""full_processed_truth_sd"": 0.0845818727507318, ""nrmse"": 0.46809787658542007, ""bias_coordinate"": 0.008095555417515566}, ""HbO"": {""visible_samples"": 104, ""full_processed_truth_sd"": 0.07526740054414943, ""nrmse"": 0.1065008986242808, ""bias_coordinate"": 0.003599040863423245}, ""HbR"": {""visible_samples"": 104, ""full_processed_truth_sd"": 0.02419989196133021, ""nrmse"": 0.18262926301392757, ""bias_coordinate"": -0.0006409400563725062}}"
v3__S1__linearized_gaussian__0__model__center_fNIRS__O1,S1,linearized_gaussian,model,center_fNIRS,O1,0,,,,,"{""EEG"": {""visible_samples"": 120, ""full_processed_truth_sd"": 0.0845818727507318, ""nrmse"": 0.4440233862212955, ""bias_coordinate"": 0.004644290431913021}, ""HbO"": {""visible_samples"": 104, ""full_processed_truth_sd"": 0.07526740054414943, ""nrmse"": 0.12557874735826677, ""bias_coordinate"": 0.0045825337563908585}, ""HbR"": {""visible_samples"": 104, ""full_processed_truth_sd"": 0.02419989196133021, ""nrmse"": 0.20982849534035375, ""bias_coordinate"": -0.001250993721597883}}"
