task_id,axis,condition,law,variant,panel,role,solver,mode,status,full_time_truth,uncertainty
v3__S1__linearized_gaussian__0__model__full__O0,,,linearized_gaussian,model,,,O0,full,completed,"{""r"": {""nrmse"": 0.4573754931737513, ""correlation"": 0.9033711389521675, ""uncertainty"": ""conditional_approximation"", ""coverage95"": 0.925, ""mean_interval_width"": 0.14716376771808223}, ""clean_EEG"": {""nrmse"": 0.4573754931737513, ""correlation"": 0.9033711389521675, ""uncertainty"": ""conditional_approximation"", ""coverage95"": 0.925, ""mean_interval_width"": 0.14716376771808223}, ""clean_HbO"": {""nrmse"": 0.11801217720154805, ""correlation"": 0.9954893337037531, ""uncertainty"": ""conditional_approximation"", ""coverage95"": 0.9666666666666667, ""mean_interval_width"": 0.032144042580810425}, ""clean_HbR"": {""nrmse"": 0.1853313471668031, ""correlation"": 0.9861553036389562, ""uncertainty"": ""conditional_approximation"", ""coverage95"": 0.7333333333333333, ""mean_interval_width"": 0.010870940366885436}}",conditional_approximation
v3__S1__linearized_gaussian__0__model__full__O1,,,linearized_gaussian,model,,,O1,full,completed,"{""r"": {""nrmse"": 0.44073500065326965, ""correlation"": 0.9036138798105848, ""uncertainty"": ""conditional_approximation"", ""coverage95"": 0.9583333333333334, ""mean_interval_width"": 0.15151411771122592}, ""clean_EEG"": {""nrmse"": 0.44073500065326965, ""correlation"": 0.9036138798105848, ""uncertainty"": ""conditional_approximation"", ""coverage95"": 0.9583333333333334, ""mean_interval_width"": 0.15151411771122592}, ""clean_HbO"": {""nrmse"": 0.12923323235264428, ""correlation"": 0.9955067663949523, ""uncertainty"": ""conditional_approximation"", ""coverage95"": 0.9333333333333333, ""mean_interval_width"": 0.03388829777846681}, ""clean_HbR"": {""nrmse"": 0.2023531604666495, ""correlation"": 0.9855066048944359, ""uncertainty"": ""conditional_approximation"", ""coverage95"": 0.7333333333333333, ""mean_interval_width"": 0.011473951974458935}}",conditional_approximation
v3__S1__linearized_gaussian__0__model__full__O2,,,linearized_gaussian,model,,,O2,full,completed,"{""r"": {""nrmse"": 0.4526968492751005, ""correlation"": 0.9034472503974621, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_EEG"": {""nrmse"": 0.4526968492751005, ""correlation"": 0.9034472503974621, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbO"": {""nrmse"": 0.1257701963853007, ""correlation"": 0.9954735099126177, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbR"": {""nrmse"": 0.20049136595621625, ""correlation"": 0.9846482819965331, ""uncertainty"": ""NOT_ESTIMATED""}}",NOT_ESTIMATED
v3__S1__linearized_gaussian__0__model__full__O2_pointwise,,,linearized_gaussian,model,,,O2_pointwise,full,completed,"{""r"": {""nrmse"": 0.4526968492751005, ""correlation"": 0.9034472503974621, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_EEG"": {""nrmse"": 0.4526968492751005, ""correlation"": 0.9034472503974621, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbO"": {""nrmse"": 0.1257701963853007, ""correlation"": 0.9954735099126177, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbR"": {""nrmse"": 0.20049136595621625, ""correlation"": 0.9846482819965331, ""uncertainty"": ""NOT_ESTIMATED""}}",NOT_ESTIMATED
v3__S1__linearized_gaussian__0__model__full__O2_mean_only,,,linearized_gaussian,model,,,O2_mean_only,full,completed,"{""r"": {""nrmse"": 0.4526968492751005, ""correlation"": 0.9034472503974621, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_EEG"": {""nrmse"": 0.4526968492751005, ""correlation"": 0.9034472503974621, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbO"": {""nrmse"": 0.1257701963853007, ""correlation"": 0.9954735099126177, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbR"": {""nrmse"": 0.20049136595621625, ""correlation"": 0.9846482819965331, ""uncertainty"": ""NOT_ESTIMATED""}}",NOT_ESTIMATED
v3__S1__linearized_gaussian__0__model__center_EEG__O0,,,linearized_gaussian,model,,,O0,center_EEG,completed,"{""r"": {""nrmse"": 0.44767440739900494, ""correlation"": 0.9083329880606897, ""uncertainty"": ""conditional_approximation"", ""coverage95"": 0.9333333333333333, ""mean_interval_width"": 0.15094515900243946}, ""clean_EEG"": {""nrmse"": 0.44767440739900494, ""correlation"": 0.9083329880606897, ""uncertainty"": ""conditional_approximation"", ""coverage95"": 0.9333333333333333, ""mean_interval_width"": 0.15094515900243946}, ""clean_HbO"": {""nrmse"": 0.1199474650198196, ""correlation"": 0.9954621501921742, ""uncertainty"": ""conditional_approximation"", ""coverage95"": 0.9833333333333333, ""mean_interval_width"": 0.03236662786364823}, ""clean_HbR"": {""nrmse"": 0.18673288606364283, ""correlation"": 0.9861612829743025, ""uncertainty"": ""conditional_approximation"", ""coverage95"": 0.7333333333333333, ""mean_interval_width"": 0.010945604037725735}}",conditional_approximation
v3__S1__linearized_gaussian__0__model__center_EEG__O1,,,linearized_gaussian,model,,,O1,center_EEG,completed,"{""r"": {""nrmse"": 0.43047350979264204, ""correlation"": 0.9086149570052239, ""uncertainty"": ""conditional_approximation"", ""coverage95"": 0.9583333333333334, ""mean_interval_width"": 0.15502285921424216}, ""clean_EEG"": {""nrmse"": 0.43047350979264204, ""correlation"": 0.9086149570052239, ""uncertainty"": ""conditional_approximation"", ""coverage95"": 0.9583333333333334, ""mean_interval_width"": 0.15502285921424216}, ""clean_HbO"": {""nrmse"": 0.13030230637824577, ""correlation"": 0.9954852348109766, ""uncertainty"": ""conditional_approximation"", ""coverage95"": 0.9583333333333334, ""mean_interval_width"": 0.034245442641314204}, ""clean_HbR"": {""nrmse"": 0.20446043499749783, ""correlation"": 0.9852044251544919, ""uncertainty"": ""conditional_approximation"", ""coverage95"": 0.75, ""mean_interval_width"": 0.011546611496089655}}",conditional_approximation
v3__S1__linearized_gaussian__0__model__center_EEG__O2,,,linearized_gaussian,model,,,O2,center_EEG,completed,"{""r"": {""nrmse"": 0.4448101387522812, ""correlation"": 0.907631534874623, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_EEG"": {""nrmse"": 0.4448101387522812, ""correlation"": 0.907631534874623, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbO"": {""nrmse"": 0.12613001864399043, ""correlation"": 0.9955571027051926, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbR"": {""nrmse"": 0.2013826523965883, ""correlation"": 0.9846713792760577, ""uncertainty"": ""NOT_ESTIMATED""}}",NOT_ESTIMATED
v3__S1__linearized_gaussian__0__model__center_EEG__O2_pointwise,,,linearized_gaussian,model,,,O2_pointwise,center_EEG,completed,"{""r"": {""nrmse"": 0.4448101387522812, ""correlation"": 0.907631534874623, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_EEG"": {""nrmse"": 0.4448101387522812, ""correlation"": 0.907631534874623, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbO"": {""nrmse"": 0.12613001864399043, ""correlation"": 0.9955571027051926, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbR"": {""nrmse"": 0.2013826523965883, ""correlation"": 0.9846713792760577, ""uncertainty"": ""NOT_ESTIMATED""}}",NOT_ESTIMATED
v3__S1__linearized_gaussian__0__model__center_EEG__O2_mean_only,,,linearized_gaussian,model,,,O2_mean_only,center_EEG,completed,"{""r"": {""nrmse"": 0.4448101387522812, ""correlation"": 0.907631534874623, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_EEG"": {""nrmse"": 0.4448101387522812, ""correlation"": 0.907631534874623, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbO"": {""nrmse"": 0.12613001864399043, ""correlation"": 0.9955571027051926, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbR"": {""nrmse"": 0.2013826523965883, ""correlation"": 0.9846713792760577, ""uncertainty"": ""NOT_ESTIMATED""}}",NOT_ESTIMATED
v3__S1__linearized_gaussian__0__model__center_fNIRS__O0,,,linearized_gaussian,model,,,O0,center_fNIRS,completed,"{""r"": {""nrmse"": 0.46809787658542007, ""correlation"": 0.9021873970124108, ""uncertainty"": ""conditional_approximation"", ""coverage95"": 0.9166666666666666, ""mean_interval_width"": 0.14872683731036088}, ""clean_EEG"": {""nrmse"": 0.46809787658542007, ""correlation"": 0.9021873970124108, ""uncertainty"": ""conditional_approximation"", ""coverage95"": 0.9166666666666666, ""mean_interval_width"": 0.14872683731036088}, ""clean_HbO"": {""nrmse"": 0.14004685565780553, ""correlation"": 0.9950333964934185, ""uncertainty"": ""conditional_approximation"", ""coverage95"": 1.0, ""mean_interval_width"": 0.03639803646019892}, ""clean_HbR"": {""nrmse"": 0.18411693376037816, ""correlation"": 0.9876186322206228, ""uncertainty"": ""conditional_approximation"", ""coverage95"": 0.8166666666666667, ""mean_interval_width"": 0.011811844878289068}}",conditional_approximation
v3__S1__linearized_gaussian__0__model__center_fNIRS__O1,,,linearized_gaussian,model,,,O1,center_fNIRS,completed,"{""r"": {""nrmse"": 0.4440233862212955, ""correlation"": 0.9046062730052362, ""uncertainty"": ""conditional_approximation"", ""coverage95"": 0.9666666666666667, ""mean_interval_width"": 0.1533054323868413}, ""clean_EEG"": {""nrmse"": 0.4440233862212955, ""correlation"": 0.9046062730052362, ""uncertainty"": ""conditional_approximation"", ""coverage95"": 0.9666666666666667, ""mean_interval_width"": 0.1533054323868413}, ""clean_HbO"": {""nrmse"": 0.15316821325153337, ""correlation"": 0.995624731322846, ""uncertainty"": ""conditional_approximation"", ""coverage95"": 0.95, ""mean_interval_width"": 0.03825946437792062}, ""clean_HbR"": {""nrmse"": 0.20789945586092237, ""correlation"": 0.9873788755490611, ""uncertainty"": ""conditional_approximation"", ""coverage95"": 0.775, ""mean_interval_width"": 0.01278020770460907}}",conditional_approximation
v3__S1__linearized_gaussian__0__model__center_fNIRS__O2,,,linearized_gaussian,model,,,O2,center_fNIRS,completed,"{""r"": {""nrmse"": 0.4590091004318478, ""correlation"": 0.9027990328567117, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_EEG"": {""nrmse"": 0.4590091004318478, ""correlation"": 0.9027990328567117, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbO"": {""nrmse"": 0.15202030995288113, ""correlation"": 0.9952397758100271, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbR"": {""nrmse"": 0.19790944353830642, ""correlation"": 0.9865414058909923, ""uncertainty"": ""NOT_ESTIMATED""}}",NOT_ESTIMATED
v3__S1__linearized_gaussian__0__model__center_fNIRS__O2_pointwise,,,linearized_gaussian,model,,,O2_pointwise,center_fNIRS,completed,"{""r"": {""nrmse"": 0.4590091004318478, ""correlation"": 0.9027990328567117, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_EEG"": {""nrmse"": 0.4590091004318478, ""correlation"": 0.9027990328567117, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbO"": {""nrmse"": 0.15202030995288113, ""correlation"": 0.9952397758100271, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbR"": {""nrmse"": 0.19790944353830642, ""correlation"": 0.9865414058909923, ""uncertainty"": ""NOT_ESTIMATED""}}",NOT_ESTIMATED
v3__S1__linearized_gaussian__0__model__center_fNIRS__O2_mean_only,,,linearized_gaussian,model,,,O2_mean_only,center_fNIRS,completed,"{""r"": {""nrmse"": 0.4590091004318478, ""correlation"": 0.9027990328567117, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_EEG"": {""nrmse"": 0.4590091004318478, ""correlation"": 0.9027990328567117, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbO"": {""nrmse"": 0.15202030995288113, ""correlation"": 0.9952397758100271, ""uncertainty"": ""NOT_ESTIMATED""}, ""clean_HbR"": {""nrmse"": 0.19790944353830642, ""correlation"": 0.9865414058909923, ""uncertainty"": ""NOT_ESTIMATED""}}",NOT_ESTIMATED
