task_id,family,kind,layer,queue_position,planned_solves,timeout_seconds,payload
v3__S1__linearized_gaussian__0__model__full__O0,S1,v3_temporal,0,0,1,900,"{""id"": ""v3__S1__linearized_gaussian__0__model__full__O0"", ""family"": ""S1"", ""layer"": 0, ""kind"": ""v3_temporal"", ""stage"": 1, ""dependencies"": [], ""prerequisites"": [], ""planned_solves"": 1, ""law"": ""linearized_gaussian"", ""replicate"": 0, ""seed"": 20661000, ""variant"": ""model"", ""mode"": ""full"", ""solver"": ""O0"", ""timeout_seconds"": 900, ""row_ids"": [""fit""], ""queue_position"": 0}"
v3__S1__linearized_gaussian__0__model__full__O1,S1,v3_temporal,0,1,1,900,"{""id"": ""v3__S1__linearized_gaussian__0__model__full__O1"", ""family"": ""S1"", ""layer"": 0, ""kind"": ""v3_temporal"", ""stage"": 1, ""dependencies"": [], ""prerequisites"": [], ""planned_solves"": 1, ""law"": ""linearized_gaussian"", ""replicate"": 0, ""seed"": 20661000, ""variant"": ""model"", ""mode"": ""full"", ""solver"": ""O1"", ""timeout_seconds"": 900, ""row_ids"": [""fit""], ""queue_position"": 1}"
v3__S1__linearized_gaussian__0__model__full__O2,S1,v3_temporal,0,2,1,1800,"{""id"": ""v3__S1__linearized_gaussian__0__model__full__O2"", ""family"": ""S1"", ""layer"": 0, ""kind"": ""v3_temporal"", ""stage"": 1, ""dependencies"": [], ""prerequisites"": [], ""planned_solves"": 1, ""law"": ""linearized_gaussian"", ""replicate"": 0, ""seed"": 20661000, ""variant"": ""model"", ""mode"": ""full"", ""solver"": ""O2"", ""timeout_seconds"": 1800, ""row_ids"": [""fit""], ""queue_position"": 2}"
v3__S1__linearized_gaussian__0__model__full__O2_pointwise,S1,v3_temporal,0,3,1,1800,"{""id"": ""v3__S1__linearized_gaussian__0__model__full__O2_pointwise"", ""family"": ""S1"", ""layer"": 0, ""kind"": ""v3_temporal"", ""stage"": 1, ""dependencies"": [], ""prerequisites"": [], ""planned_solves"": 1, ""law"": ""linearized_gaussian"", ""replicate"": 0, ""seed"": 20661000, ""variant"": ""model"", ""mode"": ""full"", ""solver"": ""O2_pointwise"", ""timeout_seconds"": 1800, ""row_ids"": [""fit""], ""queue_position"": 3}"
v3__S1__linearized_gaussian__0__model__full__O2_mean_only,S1,v3_temporal,0,4,1,1800,"{""id"": ""v3__S1__linearized_gaussian__0__model__full__O2_mean_only"", ""family"": ""S1"", ""layer"": 0, ""kind"": ""v3_temporal"", ""stage"": 1, ""dependencies"": [], ""prerequisites"": [], ""planned_solves"": 1, ""law"": ""linearized_gaussian"", ""replicate"": 0, ""seed"": 20661000, ""variant"": ""model"", ""mode"": ""full"", ""solver"": ""O2_mean_only"", ""timeout_seconds"": 1800, ""row_ids"": [""fit""], ""queue_position"": 4}"
v3__S1__linearized_gaussian__0__model__center_EEG__O0,S1,v3_temporal,0,5,1,900,"{""id"": ""v3__S1__linearized_gaussian__0__model__center_EEG__O0"", ""family"": ""S1"", ""layer"": 0, ""kind"": ""v3_temporal"", ""stage"": 1, ""dependencies"": [], ""prerequisites"": [], ""planned_solves"": 1, ""law"": ""linearized_gaussian"", ""replicate"": 0, ""seed"": 20661000, ""variant"": ""model"", ""mode"": ""center_EEG"", ""solver"": ""O0"", ""timeout_seconds"": 900, ""row_ids"": [""fit""], ""queue_position"": 5}"
v3__S1__linearized_gaussian__0__model__center_EEG__O1,S1,v3_temporal,0,6,1,900,"{""id"": ""v3__S1__linearized_gaussian__0__model__center_EEG__O1"", ""family"": ""S1"", ""layer"": 0, ""kind"": ""v3_temporal"", ""stage"": 1, ""dependencies"": [], ""prerequisites"": [], ""planned_solves"": 1, ""law"": ""linearized_gaussian"", ""replicate"": 0, ""seed"": 20661000, ""variant"": ""model"", ""mode"": ""center_EEG"", ""solver"": ""O1"", ""timeout_seconds"": 900, ""row_ids"": [""fit""], ""queue_position"": 6}"
v3__S1__linearized_gaussian__0__model__center_EEG__O2,S1,v3_temporal,0,7,1,1800,"{""id"": ""v3__S1__linearized_gaussian__0__model__center_EEG__O2"", ""family"": ""S1"", ""layer"": 0, ""kind"": ""v3_temporal"", ""stage"": 1, ""dependencies"": [], ""prerequisites"": [], ""planned_solves"": 1, ""law"": ""linearized_gaussian"", ""replicate"": 0, ""seed"": 20661000, ""variant"": ""model"", ""mode"": ""center_EEG"", ""solver"": ""O2"", ""timeout_seconds"": 1800, ""row_ids"": [""fit""], ""queue_position"": 7}"
v3__S1__linearized_gaussian__0__model__center_EEG__O2_pointwise,S1,v3_temporal,0,8,1,1800,"{""id"": ""v3__S1__linearized_gaussian__0__model__center_EEG__O2_pointwise"", ""family"": ""S1"", ""layer"": 0, ""kind"": ""v3_temporal"", ""stage"": 1, ""dependencies"": [], ""prerequisites"": [], ""planned_solves"": 1, ""law"": ""linearized_gaussian"", ""replicate"": 0, ""seed"": 20661000, ""variant"": ""model"", ""mode"": ""center_EEG"", ""solver"": ""O2_pointwise"", ""timeout_seconds"": 1800, ""row_ids"": [""fit""], ""queue_position"": 8}"
v3__S1__linearized_gaussian__0__model__center_EEG__O2_mean_only,S1,v3_temporal,0,9,1,1800,"{""id"": ""v3__S1__linearized_gaussian__0__model__center_EEG__O2_mean_only"", ""family"": ""S1"", ""layer"": 0, ""kind"": ""v3_temporal"", ""stage"": 1, ""dependencies"": [], ""prerequisites"": [], ""planned_solves"": 1, ""law"": ""linearized_gaussian"", ""replicate"": 0, ""seed"": 20661000, ""variant"": ""model"", ""mode"": ""center_EEG"", ""solver"": ""O2_mean_only"", ""timeout_seconds"": 1800, ""row_ids"": [""fit""], ""queue_position"": 9}"
